year,county_code,deaths,population,crude_rate
1999,34015,12,252536,4.751797763487186
1999,34017,13,603993,2.1523428251651926
1999,34021,11,348435,3.156973323575416
1999,34023,21,742213,2.83
1999,34025,25,610811,4.09
1999,34027,15,467678,3.207334961234011
1999,34029,20,504007,3.97
1999,34031,23,488131,4.71
1999,34039,15,520341,2.8827249822712413
1999,35001,94,553002,17.0
1999,35005,13,62052,20.9501708244698
1999,35013,20,173889,11.5
1999,35039,12,40826,29.393033850977318
1999,35043,11,88116,12.483544418720777
1999,35045,14,112574,12.436264146250466
1999,35049,23,127966,17.97
1999,35061,10,65144,15.35060788407221
1999,36001,18,294692,6.108072156692411
1999,36005,106,1317895,8.04
1999,36013,10,140087,7.13842112401579
1999,36019,10,79875,12.519561815336463
1999,36027,18,277586,6.484476882839913
1999,36029,46,952546,4.83
1999,36047,204,2447352,8.34
1999,36055,44,733679,6.0
1999,36059,43,1330815,3.23
1999,36061,81,1535624,5.27
1999,36065,12,235412,5.097446179464089
1999,36067,15,458575,3.2710025622853403
1999,36071,15,336630,4.455930843953302
1999,36081,94,2208975,4.26
1999,36085,18,437814,4.111334950458414
1999,36101,12,98458,12.187938004022019
1999,36103,49,1406161,3.48
1999,36111,18,176526,10.196798205363516
1999,36119,21,918532,2.29
1999,37001,16,128743,12.4278601555036
1999,37019,11,71367,15.413286252749868
1999,37021,27,204340,13.21
1999,37023,15,88496,16.949918640390525
1999,37025,11,127826,8.605448030917028
1999,37035,25,139522,17.92
1999,37045,13,95293,13.642135308994364
1999,37049,11,90843,12.108803099853594
1999,37051,34,301608,11.27
1999,37057,17,146106,11.63538800596827
1999,37063,23,219811,10.46
1999,37067,37,303630,12.19
1999,37071,27,189127,14.28
1999,37081,48,416459,11.53
1999,37085,11,89127,12.341939030821187
1999,37087,16,53602,29.84963247640013
1999,37089,11,87825,12.524907486478792
1999,37097,19,120031,15.829244111937749
1999,37101,28,117765,23.78
1999,37105,10,48766,20.506090308821722
1999,37107,11,59863,18.37529024606184
1999,37109,11,62955,17.47279803033913
1999,37119,102,682071,14.95
1999,37127,10,87042,11.488706601410813
1999,37129,20,158774,12.6
1999,37133,12,149628,8.019889325527307
1999,37147,14,132554,10.561733331321575
1999,37151,20,128722,15.54
1999,37153,12,46449,25.834786540076216
1999,37155,31,122514,25.3
1999,37157,19,91845,20.687027056453807
1999,37159,13,129436,10.043573658024043
1999,37165,10,35926,27.834994154651227
1999,37169,10,44255,22.596316800361542
1999,37179,13,118621,10.959273653063116
1999,37183,51,612728,8.32
1999,37191,18,113176,15.904432035060436
1999,37195,15,73166,20.501325752398653
1999,39003,12,108192,11.09139307897072
1999,39017,24,330751,7.26
1999,39023,11,145159,7.577897340158033
1999,39025,13,176389,7.370074097591119
1999,39035,119,1399752,8.5
1999,39049,99,1061223,9.33
1999,39061,66,849917,7.77
1999,39085,16,227605,7.029722545638276
1999,39093,17,283364,5.999350658516961
1999,39095,28,455515,6.15
1999,39099,56,259145,21.61
1999,39113,81,561944,14.41
1999,39133,12,151388,7.9266520463973364
1999,39139,18,129233,13.928330999048232
1999,39151,30,378220,7.93
1999,39153,34,541737,6.28
1999,39155,20,226084,8.85
1999,39165,10,152448,6.559613769941226
1999,39169,12,111191,10.79224037916738
1999,40017,14,86306,16.221351933816884
1999,40027,11,206844,5.318017443097213
1999,40031,20,116064,17.23
1999,40037,10,67056,14.912908613696015
1999,40079,11,47858,22.984662961260398
1999,40101,13,69413,18.728480255859854
1999,40109,116,657182,17.65
1999,40125,12,64861,18.501102357348792
1999,40143,88,561682,15.67
1999,41005,27,335891,8.04
1999,41009,10,43360,23.062730627306273
1999,41017,13,111933,11.61409057203863
1999,41019,18,100364,17.934717627834683
1999,41029,19,179264,10.598893252409853
1999,41033,12,75209,15.955537236235026
1999,41035,10,63396,15.773865859044735
1999,41039,35,321778,10.88
1999,41043,12,103462,11.59846127080474
1999,41047,33,282129,11.7
1999,41051,74,657740,11.25
1999,41059,11,69847,15.748707890102652
1999,41067,35,435602,8.03
1999,42003,128,1287247,9.94
1999,42007,17,182592,9.31037504381353
1999,42011,29,370942,7.82
1999,42017,28,593947,4.71
1999,42019,13,172924,7.5177534639494805
1999,42021,16,153911,10.395618246908928
1999,42027,10,135315,7.390163692125781
1999,42029,21,428055,4.91
1999,42041,13,213282,6.095216661509175
1999,42043,16,251329,6.366157506694412
1999,42045,50,550820,9.08
1999,42049,23,281294,8.18
1999,42051,22,148857,14.78
1999,42055,13,128875,10.08729388942774
1999,42063,10,89717,11.146159590713019
1999,42069,16,214001,7.476600576632819
1999,42071,38,467879,8.12
1999,42077,23,310514,7.41
1999,42079,18,320888,5.609433821146319
1999,42085,10,120749,8.281642083992413
1999,42089,20,134936,14.82
1999,42091,43,744683,5.77
1999,42095,18,265928,6.768749435937547
1999,42097,14,94833,14.762793542332311
1999,42101,321,1520064,21.12
1999,42107,23,151021,15.23
1999,42125,21,203078,10.34
1999,42129,38,371248,10.24
1999,42133,26,378905,6.86
1999,44007,37,616607,6.0
1999,45003,21,141379,14.85
1999,45007,25,164029,15.24
1999,45013,16,117975,13.562195380377199
1999,45015,17,141956,11.975541717151794
1999,45019,30,309247,9.7
1999,45031,14,67029,20.886481970490383
1999,45033,10,30682,32.59239945244769
1999,45035,16,94966,16.84813512204368
1999,45041,19,125612,15.125943381205618
1999,45045,55,374851,14.67
1999,45051,19,191833,9.904448139788252
1999,45055,13,51708,25.14117738067611
1999,45057,16,61103,26.18529368443448
1999,45063,28,213243,13.13
1999,45073,10,65513,15.26414604734938
1999,45075,21,91313,23.0
1999,45077,12,109851,10.923887811672174
1999,45079,53,318034,16.66
1999,45083,32,251886,12.7
1999,45085,12,104827,11.447432436299808
1999,45091,15,161546,9.285280972602232
1999,46099,11,145631,7.553336858223868
1999,46103,10,88047,11.357570388542484
1999,47001,10,71454,13.995017773672572
1999,47009,15,104492,14.355165945718332
1999,47011,14,87125,16.068866571018653
1999,47029,10,33264,30.062530062530065
1999,47035,10,46068,21.707041764348354
1999,47037,101,567251,17.81
1999,47053,11,48181,22.830576368277953
1999,47065,35,306915,11.4
1999,47093,39,380010,10.26
1999,47099,10,39761,25.15027288046075
1999,47113,13,90999,14.285871273310695
1999,47119,16,69082,23.160881271532382
1999,47125,16,132489,12.0764742733359
1999,47145,11,51736,21.261790629349004
1999,47149,13,177473,7.325057896130678
1999,47157,157,893826,17.56
1999,47163,19,153112,12.409216782486023
1999,47165,14,128383,10.904870582553766
1999,47179,16,106239,15.060382721975921
1999,47183,11,34696,31.70394281761586
1999,47187,10,122827,8.141532399228183
1999,47189,11,87309,12.59893023628721
1999,48005,10,79611,12.561078242956375
1999,48027,18,233886,7.69605705343629
1999,48029,122,1378688,8.85
1999,48039,21,237602,8.84
1999,48061,13,330277,3.9360900092952282
1999,48085,29,468620,6.19
1999,48113,268,2197658,12.19
1999,48121,30,416622,7.2
1999,48135,15,122450,12.249897917517355
1999,48139,12,108174,11.093238671030006
1999,48141,29,675397,4.29
1999,48157,21,343372,6.12
1999,48167,24,248893,9.64
1999,48181,17,109173,15.571615692524707
1999,48183,16,111783,14.313446588479463
1999,48201,412,3359671,12.26
1999,48203,13,61978,20.975184742973312
1999,48215,21,555875,3.78
1999,48231,16,75086,21.30889912899875
1999,48245,32,252288,12.68
1999,48251,15,123249,12.170484141859163
1999,48257,10,69008,14.491073498724786
1999,48291,11,68661,16.020739575596043
1999,48303,25,240776,10.38
1999,48309,30,211548,14.18
1999,48329,18,117621,15.30338970081873
1999,48339,36,284271,12.66
1999,48355,23,314553,7.31
1999,48361,17,84883,20.02756735742139
1999,48367,15,86087,17.42423362412443
1999,48375,15,112919,13.283858340934653
1999,48423,28,172758,16.21
1999,48439,143,1422372,10.05
1999,48441,19,126335,15.039379427712037
1999,48451,11,103908,10.58628787003888
1999,48453,59,788500,7.48
1999,48485,17,132246,12.854831148012037
1999,48491,15,236609,6.339572881843041
1999,49035,90,891116,10.1
1999,49049,20,361631,5.53
1999,49053,11,88049,12.493043646151575
1999,49057,19,193697,9.809134885930087
1999,50021,10,63257,15.808527119528273
1999,51041,25,256555,9.74
1999,51059,45,955629,4.71
1999,51083,10,37444,26.70654844567888
1999,51085,10,84602,11.820051535424694
1999,51087,38,257884,14.74
1999,51089,10,57921,17.264895288410077
1999,51107,10,158128,6.323990691085703
1999,51143,11,61214,17.96974548305943
1999,51153,24,272661,8.8
1999,51185,14,44968,31.133250311332503
1999,51510,11,125668,8.753222777477163
1999,51550,20,196035,10.2
1999,51590,15,49091,30.555498971298203
1999,51650,19,145538,13.0550096881914
1999,51680,10,65406,15.289117206372502
1999,51700,24,180224,13.32
1999,51710,31,233497,13.28
1999,51730,10,34181,29.256019425996897
1999,51740,24,100794,23.81
1999,51760,72,199145,36.15
1999,51810,34,422369,8.05
1999,53005,15,140629,10.666363267889269
1999,53011,35,339541,10.31
1999,53027,13,67265,19.326544265219653
1999,53033,145,1729058,8.39
1999,53035,32,229393,13.95
1999,53053,89,692662,12.85
1999,53061,49,597931,8.19
1999,53063,39,415426,9.39
1999,53067,18,204873,8.785930796151764
1999,53073,13,164566,7.899566131521699
1999,53077,26,221573,11.73
1999,54039,25,201309,12.42
1999,54049,10,56820,17.59943681802182
1999,54055,18,63181,28.489577562874913
1999,54061,12,81435,14.735678762202983
1999,54081,16,79614,20.096967869972616
1999,55009,22,224825,9.79
1999,55025,29,423248,6.85
1999,55059,11,148321,7.416346977164394
1999,55073,19,125404,15.15103186501228
1999,55079,139,940529,14.78
1999,55087,10,159219,6.280657459222831
1999,55101,11,188361,5.839850075121707
1999,55105,16,151541,10.558198771289618
1999,55133,16,357829,4.471409528014778
1999,56025,19,66282,28.66539935427416
2000,1003,16,140415,11.394794003489656
2000,1015,23,112249,20.49
2000,1021,10,39593,25.25698987194706
2000,1033,12,54984,21.82453077258839
2000,1045,10,49129,20.35457672657697
2000,1055,13,103459,12.565364057259398
2000,1069,10,88787,11.262910110714406
2000,1073,154,662047,23.26
2000,1077,11,87966,12.504831412136507
2000,1081,16,115092,13.901921940708304
2000,1089,36,276700,13.01
2000,1095,11,82231,13.37695029854921
2000,1097,59,399843,14.76
2000,1101,47,223510,21.03
2000,1103,15,111064,13.505726428005474
2000,1115,12,64742,18.53510858484446
2000,1117,20,143293,13.96
2000,1121,13,80321,16.18505745695397
2000,1125,27,164875,16.38
2000,1127,17,70713,24.040841146606706
2000,2020,29,260283,11.14
2000,2122,13,49691,26.16167917731581
2000,2170,11,59322,18.542867738781563
2000,2290,10,8444,118.42728564661299
2000,4003,21,117755,17.83
2000,4005,15,116320,12.895460797799174
2000,4007,10,51335,19.479887016655304
2000,4013,433,3072149,14.09
2000,4015,54,155032,34.83
2000,4017,16,97470,16.415307274033037
2000,4019,159,843746,18.84
2000,4021,20,179727,11.13
2000,4025,42,167517,25.07
2000,4027,13,160026,8.123679902015922
2000,5005,12,38386,31.261397384463084
2000,5007,22,153406,14.34
